Modulator	Target	miRNA	CMI	p.value
ENSG00000163596	ENSG00000114529	MIMAT0000421	0.07894	1
ENSG00000163596	ENSG00000114529	MIMAT0002819	0.0153	0.232
ENSG00000123095	ENSG00000163596	MIMAT0000243	0.05255	0.234
ENSG00000123095	ENSG00000163596	MIMAT0000255	0.0594	0.079
ENSG00000123095	ENSG00000163596	MIMAT0000421	0.10188	0.841
ENSG00000123095	ENSG00000163596	MIMAT0000437	0.01986	0.075
ENSG00000123095	ENSG00000163596	MIMAT0000460	0.02666	0.704
ENSG00000123095	ENSG00000163596	MIMAT0002819	0.05566	0.409
ENSG00000163596	ENSG00000123095	MIMAT0000243	0.03854	0.883
ENSG00000163596	ENSG00000123095	MIMAT0000255	0.00874	0.618
ENSG00000163596	ENSG00000123095	MIMAT0000421	0.04291	1
ENSG00000163596	ENSG00000123095	MIMAT0000437	0.07007	0.099
ENSG00000163596	ENSG00000123095	MIMAT0000460	0.05011	0.962
ENSG00000163596	ENSG00000123095	MIMAT0002819	0.0136	0.578
ENSG00000135631	ENSG00000163596	MIMAT0000077	0.02397	0.4
ENSG00000135631	ENSG00000163596	MIMAT0000080	0.02966	0.386
ENSG00000135631	ENSG00000163596	MIMAT0000104	0.02336	0.273
ENSG00000135631	ENSG00000163596	MIMAT0000421	0.08028	0.978
ENSG00000135631	ENSG00000163596	MIMAT0002819	0.08778	0.05
ENSG00000163596	ENSG00000135631	MIMAT0000077	0.01171	1
ENSG00000163596	ENSG00000135631	MIMAT0000080	-0.00087	1
ENSG00000163596	ENSG00000135631	MIMAT0000104	0.02993	0.591
ENSG00000163596	ENSG00000135631	MIMAT0000421	0.05214	1
ENSG00000163596	ENSG00000135631	MIMAT0002819	0.05374	0.005
